,GLON,GLAT,PSRness
763,195.88716,-37.37893,Non-PSR
764,157.6625,-6.7540545,Non-PSR
765,189.52013,-33.19688,Non-PSR
766,262.80347,-44.72508,Non-PSR
771,262.84558,-44.45141,Non-PSR
772,279.0392,-39.85734,Non-PSR
773,249.12997,-45.882275,Non-PSR
774,214.32652,-42.39917,Non-PSR
775,191.8219,-33.153397,Non-PSR
776,196.0539,-35.039387,Non-PSR
777,161.59308,-8.766496,Non-PSR
778,164.41455,-11.480435,Non-PSR
780,160.37965,-7.0277348,Non-PSR
781,271.219,-41.78716,Non-PSR
782,240.33931,-45.24601,Non-PSR
783,201.85655,-36.90106,Non-PSR
784,200.7763,-36.11636,Non-PSR
785,176.02396,-20.609789,Non-PSR
786,191.48119,-31.182169,Non-PSR
788,175.14754,-19.655537,Non-PSR
789,195.2881,-33.126907,Non-PSR
790,159.70265,-5.3846617,Non-PSR
791,193.58473,-31.77712,Non-PSR
792,262.19254,-43.01426,Non-PSR
793,144.40498,9.769479,Non-PSR
795,140.6745,13.363747,Non-PSR
797,242.1729,-43.9343,Non-PSR
802,240.71034,-43.614655,Non-PSR
803,194.94923,-31.261189,Non-PSR
804,233.4735,-42.957825,Non-PSR
805,248.3123,-43.546547,Non-PSR
806,170.24599,-13.476303,Non-PSR
807,231.32568,-42.576515,Non-PSR
808,223.61865,-41.228725,Non-PSR
809,179.75235,-21.042122,Non-PSR
810,136.58528,17.369314,Non-PSR
811,179.49156,-20.335672,Non-PSR
812,190.33688,-27.416533,Non-PSR
813,167.882,-10.448068,Non-PSR
814,270.8581,-40.150066,Non-PSR
815,170.52231,-12.600864,Non-PSR
816,266.93124,-40.926235,Non-PSR
817,217.85133,-38.953884,Non-PSR
818,222.15494,-39.945553,Non-PSR
819,186.95619,-24.764427,Non-PSR
820,225.62082,-40.42884,Non-PSR
822,196.58743,-30.021908,Non-PSR
823,284.20227,-35.96703,Non-PSR
826,272.46332,-39.310204,Non-PSR
829,209.77747,-35.273685,Non-PSR
830,236.57367,-41.29975,Non-PSR
831,250.83379,-41.765965,Non-PSR
832,177.08958,-16.294132,Non-PSR
833,233.13773,-40.749317,Non-PSR
835,216.93407,-37.268463,Non-PSR
836,224.1979,-39.0085,Non-PSR
837,248.41191,-41.553524,Non-PSR
838,183.22792,-20.493126,Non-PSR
839,172.56613,-12.21581,Non-PSR
840,183.04982,-20.035507,Non-PSR
842,197.19972,-28.462345,Non-PSR
843,146.9864,10.18469,Non-PSR
845,278.20804,-37.204502,Non-PSR
846,246.20032,-40.962955,Non-PSR
847,190.33481,-23.953135,Non-PSR
848,167.9791,-7.356889,Non-PSR
850,270.0137,-38.846455,Non-PSR
853,225.5776,-37.67351,Non-PSR
854,228.22758,-38.172253,Non-PSR
855,215.0361,-34.439285,Non-PSR
857,187.42838,-20.736986,Non-PSR
858,146.06154,11.9011345,Non-PSR
859,248.80428,-39.914944,Non-PSR
860,293.8562,-31.390137,Non-PSR
861,171.7392,-9.059143,Non-PSR
862,249.43903,-39.765568,Non-PSR
863,138.7236,17.471235,Non-PSR
864,256.36087,-39.57797,Non-PSR
865,252.73492,-39.503105,Non-PSR
866,151.13889,8.320269,Non-PSR
868,228.99725,-37.031914,Non-PSR
869,146.43253,12.168915,Non-PSR
871,251.99478,-38.824978,Non-PSR
873,175.3738,-10.049195,Non-PSR
874,215.89505,-32.736637,Non-PSR
875,233.48393,-37.087746,Non-PSR
876,192.66832,-21.67137,Non-PSR
877,223.71014,-34.899055,Non-PSR
878,188.29225,-18.650644,Non-PSR
